"listing_heading","listing_price","İlan no","Son Güncelleme Tarihi","Konut Tipi","Oda + Salon Sayısı","Brüt / Net M2","Bulunduğu Kat","Bina Yaşı","Isınma Tipi","Kat Sayısı","Eşya Durumu","Banyo Sayısı","Yapı Tipi","Yapının Durumu","Kullanım Durumu","Tapu Durumu","Aidat","Cephe","Depozito","Yakıt Tipi","Ada No","Parsel No","Yetkili Ofis","Krediye Uygunluk","Site İçerisinde","Takas",""
"EŞYALI KİRALIK DOĞALGAZLI 2+1 DAİRE","20.000 TL","144436-68","09-10-2024","Daire","2 + 1","85 m2","4. Kat","31 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Mülk Sahibi","Kat Mülkiyeti","1 TL","Güney, Doğu","","","","","","Uygun değil","","",""
"BUCA ÜÇKUYULAR 500m ASANSÖRLÜ DOĞALGAZLI 3+1 DUBLEKS","20.000 TL","144109-123","17-10-2024","Daire","3 + 1","130 m2","4. Kat","1 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","","","Güney, Doğu","","Doğalgaz","","","Evet","","","",""
"ŞİRİNYER İZBANA YAKIN 1+1","15.000 TL","142604-71","15-10-2024","Daire","1 + 1","49 m2","En Üst Kat","5 Yaşında","Soba","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","","30.000 TL","Elektrik","","","Evet","","","",""
"KOZAĞAÇ MERKEZDE 3+1 ÇİFT CEPHE 150 M2 KİRALIK DAİRE","25.000 TL","147777-156","10-10-2024","Daire","3 + 1","150 m2","2. Kat","8 Yaşında","Kombi","3 Katlı","Eşyalı Değil","2","Betonarme","İkinci El","Boş","Kat Mülkiyeti","100 TL","Güney, Doğu","25.000 TL","Doğalgaz","8128","16","Evet","","","",""
"BUCA ATATÜRK MAH.'NDE EŞYALI KİRALIK DAİRE (1+1)","18.500 TL","145065-57","11-10-2024","Daire","1 + 0","70 m2","En Üst Kat","18 Yaşında","Kombi","3 Katlı","Eşyalı","","","İkinci El","Boş","Kat Mülkiyeti","","Kuzey, Güney","18.500 TL","Doğalgaz","592","28","Evet","","","",""
"3+1 eşyali kiralik daire","21.000 TL","0-43553841","17-10-2024","Daire","3 + 1","140 m2","2. Kat","25 Yaşında","Belirtilmemiş","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","100 TL","Güney","35.000 TL","Elektrik","118","8","","","","",""
"BUCA GEDİZ SEVGİ YOLU YAKININDA İÇİ TADİLATLI KİRALIK 2+1 DAİRE","13.500 TL","104396-85","18-10-2024","Daire","2 + 1","95 m2","Zemin","15 Yaşında","Kombi","2 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat Mülkiyeti","","","13.000 TL","Doğalgaz","","","Evet","","","",""
"ÇAMLIKULE MH. MERKEZİ KONUMDA // 2+1 // D.Gazlı ARAKAT KİRALIK","16.500 TL","104457-40","17-10-2024","Daire","2 + 1","130 m2","2. Kat","16 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","150 TL","Kuzey, Güney","","","","","","Uygun değil","","",""
"GÜNEŞ'TEN ŞİRİNYER İZBAN 5DK M 2+1 85M BALKON K.MUTFAK A.KAT","12.500 TL","130324-798","17-10-2024","Daire","2 + 1","85 m2","2. Kat","35 Yaşında","Isıtma Yok","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","","Güney","12.500 TL","","","","","","","",""
"bucaPARİSA'DAN KOZAĞAÇ MEYDAN YAKINI D.GAZLI KİRALIK 3+1","21.000 TL","143816-22","18-10-2024","Daire","3 + 1","120 m2","1. Kat","11 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","Kat Mülkiyeti","50 TL","Kuzey, Güney, Doğu","","","","","","Uygun değil","","",""
"SAFİR'DEN Neşet Ertaş Parkı Yanı 1+1 Doğalgazlı Daire","11.500 TL","109159-292","14-10-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","Batı","","","","","","Uygun değil","","",""
"GOLDİA YAPI'DAN KAMPÜS YAKINI KİRALIK EŞYALI 1+1","16.000 TL","142618-211","14-10-2024","Daire","1 + 1","55 m2","Ara Kat","4 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","Sıfır","Boş","Kat İrtifakı","150 TL","Kuzey, Güney, Doğu, Batı","16.000 TL","Doğalgaz","","","Evet","","","",""
"BUCA ADATEPE IŞILAY SAYGIN YAKINI 2+1 100 M2 KAPALI MUTFAK KİRALIK DAİRE","20.000 TL","111716-1077","19-10-2024","Daire","2 + 1","100 m2","2. Kat","4 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","Kat İrtifakı","","Güney, Doğu, Batı","20.000 TL","Doğalgaz","","","","","","",""
"Şirinyer Efeler Mh Site İçerisi 3+1 Ful Eşyalı Manzaralı Daire","32.000 TL","24511-9070","23-09-2024","Daire","3 + 1","140 m2","4. Kat","25 Yaşında","Kombi","8 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat İrtifakı","280 TL","Güney, Doğu","32.000 TL","Doğalgaz","","","Evet","","Dilek Hanım Sitesi","",""
"* Buca Akıncılar Nato Lokasyonunda Kiralık  3+1 Geniş  Daire.!","25.000 TL","126264-1773","03-10-2024","Daire","3 + 1","145 m2","3. Kat","23 Yaşında","Klima","3 Katlı","Eşyalı Değil","1","","İkinci El","Boş","Kat İrtifakı","50 TL","Kuzey, Güney, Batı","","","","","Evet","","","",""
"AHMET YESEVİ CAD ÜZERİ HASTANE KARŞISI BALKONLU FULL EŞYALI 1+1","16.500 TL","142478-124","18-10-2024","Daire","1 + 1","50 m2","2. Kat","5 Yaşında","Klima","4 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","","","","","","","Uygun değil","","",""
"Buca Yeşilbağlar Mahallesi'nde Aile Apartmanı  Arakat  3+1 Kiralık Daire","20.000 TL","51456-7194","12-10-2024","Daire","3 + 1","125 m2","Ara Kat","16 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","","","Doğalgaz","","","","","","",""
"BUCA ATATÜRK MH.203/15 SK.NO:6 D:10 KİRALIK 2.KAT 1+1 DAİRE","15.000 TL","27431-10411","12-10-2024","Daire","1 + 1","30 m2","2. Kat","7 Yaşında","Kombi","4 Katlı","Eşyalı","1","","İkinci El","Boş","Kat İrtifakı","100 TL","Güney, Batı","15.000 TL","","42657","3","Evet","","","",""
"9 EYLÜL KAMPÜS YAKINI KİRALIK 1+0 daire 11.000tl","13.500 TL","145608-8","20-09-2024","Daire","1 + 0","45 m2","3. Kat","5 Yaşında","Merkezi (Pay Ölçer)","5 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","400 TL","Kuzey, Güney, Doğu, Batı","13.500 TL","Doğalgaz","","","Evet","","Evet (Site Adı Belirtilmemiş)","",""
"BUCA ADA EMLAKTAN DUMLUPINAR MH. 3+1 EŞYALI KİRALIK DAİRE","20.000 TL","145203-43","15-10-2024","Daire","3 + 1","130 m2","4. Kat","21 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Doğu, Batı","","","","","","Uygun değil","","",""
"NEZİH SİTE İÇİ ''3+1'' OTOPARKLI - ÇOCUK PARKLI KİRALIK DAİRE","23.000 TL","104457-42","14-10-2024","Daire","3 + 1","120 m2","8. Kat","11 Yaşında","Kombi","9 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","400 TL","Kuzey, Güney, Doğu, Batı","","","","","","Uygun değil","Evet (Site Adı Belirtilmemiş)","",""
"bucaPARİSA'DAN TINAZTEPE KAMP.KARŞISI D.GAZLI EŞYALI KİRALIK 1+1","15.000 TL","143816-27","17-10-2024","Daire","1 + 1","55 m2","2. Kat","10 Yaşında","Kombi","1 Katlı","Eşyalı","","Betonarme","İkinci El","","Kat İrtifakı","10 TL","","15.000 TL","Doğalgaz","","","","","","",""
"ARGA'DAN BUCA MENDERES MAH.ARA KAT 1+1 EŞYALI  KİRALIK  DAİRE","16.000 TL","63598-150","17-10-2024","Daire","1 + 1","50 m2","Ara Kat","8 Yaşında","Klima","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat İrtifakı","","Doğu","16.000 TL","Elektrik","","","Evet","","","",""
"İzmir Buca Yaylacık Mahallesi//Siteiçi Çİftasansörlü Yangınmerdivenli//Fulyapılı Arakat 130m2/2+1Dai","20.500 TL","85846-1855","04-10-2024","Daire","2 + 1","135 m2","10. Kat","20 Yaşında","Kombi","12 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat Mülkiyeti","","Kuzey, Güney, Doğu, Batı","20.500 TL","Doğalgaz","","","Evet","","","",""
"BAŞOĞLUN'DAN EŞYALI BALKONLU 1+1 DAİRE","17.000 TL","129980-615","13-10-2024","Daire","1 + 1","55 m2","3. Kat","5 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Kuzey, Güney, Doğu, Batı","","","","","","Uygun değil","","",""
"GOLDİA YAPI'DAN KAMPÜS YAKINI EŞYALI KİRALIK 1+1","16.000 TL","142618-215","18-10-2024","Daire","1 + 1","55 m2","Ara Kat","3 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat İrtifakı","150 TL","Kuzey, Güney, Doğu, Batı","16.000 TL","Doğalgaz","","","Evet","","","",""
"TURPA AYEL YAPIDA DAN 2+1","15.000 TL","149792-8","19-10-2024","Daire","2 + 1","90 m2","Yüksek Giriş","15 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","100 TL","","15.000 TL","Doğalgaz","","","Evet","","","",""
"2+1 temiz daire","20.000 TL","0-43567376","19-10-2024","Daire","2 + 1","70 m2","4. Kat","10 Yaşında","Kombi","5 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","250 TL","Güney, Batı","20.000 TL","Doğalgaz","","","","","","",""
"BUCA İZBAN YAKINI 2+1 bahçeli yüksek giriş kiralık daire","19.000 TL","16596-1218","13-10-2024","Daire","2 + 1","75 m2","Yüksek Giriş","3 Yaşında","Kombi","4 Katlı","","1","","","Boş","","","","20.000 TL","Doğalgaz","","","","","","",""
"YILDIZ MAH'DE KAPALI MUTFAK 2+1 KİRALIK DAİRE","14.000 TL","142478-125","18-10-2024","Daire","2 + 1","100 m2","Yüksek Giriş","11 Yaşında","Isıtma Yok","2 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","50 TL","","","","","","","Uygun değil","","",""
"BUCA SSK KARŞISINDA 3+1 İÇİ YAPILI ÇİFT CEPHE D.GAZLI BALKONLU SATILIK DAİRE","19.000 TL","111716-967","19-10-2024","Daire","3 + 1","120 m2","3. Kat","20 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","Kat İrtifakı","","Güney, Doğu, Batı","19.000 TL","Doğalgaz","","","","","","",""
"KAMPÜS KARŞISI// FULL EŞYALI KİRALIK 1+1 55m2 ARAKAT DAİRELER","21.000 TL","145608-23","04-10-2024","Daire","1 + 1","55 m2","3. Kat","3 Yaşında","Merkezi (Pay Ölçer)","5 Katlı","Eşyalı","1","","","Boş","","900 TL","Güney, Doğu, Batı","","","","","","","Evet (Site Adı Belirtilmemiş)","",""
"BUCA DUMLUPINAR MAH. KİRALIK 2+1 ARAKAT DAİRE DOGALGAZLI","18.000 TL","145203-44","15-10-2024","Daire","2 + 1","110 m2","2. Kat","16 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","50 TL","Doğu","","","","","","Uygun değil","","",""
"Buca Kuruçeşme Mah Üniversite Yakını Doğalgazlı 2+1 Kiralık Daire","15.000 TL","2499-11627","26-09-2024","Daire","2 + 1","90 m2","1. Kat","15 Yaşında","Kombi","5 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","100 TL","Doğu, Batı","15.000 TL","Doğalgaz","","","Evet","","","",""
"UFUK MAH.3 ODA 1 SALON KLASİK DAİRE","10.500 TL","13470-2421","18-10-2024","Daire","3 + 1","130 m2","Ara Kat","35 Yaşında","Isıtma Yok","4 Katlı","Eşyalı Değil","1","Kagir","İkinci El","","","10 TL","Kuzey, Güney","10.500 TL","Elektrik","","","Evet","","","",""
"VİRAJ EMLAK ARA KAT  DOĞALGAZLI 2+1 85mt UÇAN YOL CİVARI BUCA ŞİRİNYER","14.000 TL","98587-1441","19-10-2024","Daire","2 + 1","90 m2","1. Kat","20 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","Kat Mülkiyeti","","","14.000 TL","Elektrik","","","Evet","","","",""
"Buca Kadın Doğum Hastanesi Yanı Kiralık 2+1 Boş Daire","20.000 TL","21024-11193","14-10-2024","Daire","2 + 1","85 m2","2. Kat","13 Yaşında","Merkezi (Pay Ölçer)","4 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","","300 TL","Kuzey, Doğu","22.000 TL","Doğalgaz","6096","2","Evet","","","",""
"Eğitim ve İktisat Fakültesine yürüyüş mesafesinde Heykel meydan üstü 1+1 78 m2 Asansörlü Lüks Sıfır","15.000 TL","3526-3161","16-10-2024","Daire","1 + 1","78 m2","4. Kat","Sıfır Bina","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","","","Doğu, Batı","15.000 TL","Doğalgaz","","","Evet","","","",""
"OYAK BUCA KONUTLARINDA KİRALIK 3+1 DAİRE","45.000 TL","31745-21500","27-09-2024","Daire","3 + 1","147 m2","8. Kat","6 Yaşında","Kombi","12 Katlı","Eşyalı Değil","2","","","Boş","","","Kuzey, Güney, Batı","45.000 TL","","","","","","","",""
"BUCA HASAN AĞA BAHÇESİ GÜNLÜK KİRALIK","350 TL","138098-22","18-10-2024","Residence","3 + 1","80 m2","En Üst Kat","5 Yaşında","Klima","5 Katlı","","1","","","","","","","","","","","","","","",""
"3+1 BUCA BELEDİYE YAKINI 130M2 ARAKAT KÖŞE KİRALIK DAİRE","20.000 TL","83315-103","16-10-2024","Daire","3 + 1","130 m2","Ara Kat","25 Yaşında","Isıtma Yok","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","","20.000 TL","","","","","","","",""
"BUCA ADA EMLAKTAN ATATÜRK MH. 1+1 EŞYALI KİRALIK DAİRE","15.000 TL","145203-46","15-10-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Klima","2 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Doğu, Batı","","","","","","Uygun değil","","",""
"BUCADA KİRALIK DAİRE EŞYALI EŞYASIZ VERİLİR 135m² D.GAZLI ÇİFT ASANSÖRLÜ HARİKA LOKASYON MANZARA","18.000 TL","21671-6355","19-10-2024","Daire","3 + 1","155 m2","3. Kat","19 Yaşında","Kombi","7 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat Mülkiyeti","100 TL","Kuzey, Güney, Doğu","30.000 TL","Doğalgaz","","","Evet","","","",""
"Buca'nın Merkezinde Eşyalı 2+1 Doğalgazlı Kiralık Daire","16.000 TL","143815-171","15-10-2024","Daire","2 + 1","70 m2","Giriş Katı","8 Yaşında","Kombi","5 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat İrtifakı","","Kuzey, Batı","18.000 TL","Doğalgaz","218","4","Evet","","","",""
"Buca Kozağaç Mah Çevikbir Meydanı Seyfi Demirsoy Hast Yakın Tadilatlı 3+1 Dublex Geniş Kiralık Daire","22.000 TL","2499-11649","12-10-2024","Daire","3 + 1","160 m2","Giriş Katı","20 Yaşında","Kombi","5 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","100 TL","Güney","22.000 TL","Doğalgaz","","","Evet","","","",""
"VİRAJ EMLAK KİRALIK 3+1  TERASLI  DAİRE BUCA MERKEZ ATATÜRK MAH.","15.500 TL","98587-1457","19-10-2024","Daire","3 + 1","115 m2","Teras Katı","10 Yaşında","Kombi","4 Katlı","Eşyalı Değil","2","","","Boş","Kat Mülkiyeti","","","15.000 TL","","","","Evet","","","",""
"BUCA ÇEVİKBİR MEYDAN'DA BANKALAR YANI 2+1 MERKEZİ KONUM GENİŞ DOĞALGAZLI KLİMALI ARAKAT DAİRE","20.000 TL","111716-1084","19-10-2024","Daire","2 + 1","85 m2","2. Kat","10 Yaşında","Kombi","4 Katlı","","1","","","","Kat İrtifakı","","","","","","","","","","",""
"Buca Çamlıkule Mah. Site İçerisinde 3+1 Kiralık Daire","26.500 TL","126264-1794","01-10-2024","Daire","3 + 1","140 m2","5. Kat","6 Yaşında","Kombi","6 Katlı","Eşyalı Değil","1","","İkinci El","Boş","","","Güney, Batı","","","","","Evet","","","",""
"KURUÇEŞME MAHALLESİNDE ASEM LOFT KİRALIK EŞYALI 1+1","13.500 TL","144360-29","16-10-2024","Daire","1 + 1","55 m2","6. Kat","4 Yaşında","Kombi","8 Katlı","Eşyalı","1","","","Boş","","","Güney, Doğu","","","","","","Uygun değil","","",""
"ATATÜRK MAHALLESİ 2+1 KAPALİ MUTFAK","15.000 TL","144765-57","03-10-2024","Daire","2 + 1","110 m2","Ara Kat","15 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","Güney, Doğu, Batı","15.000 TL","Doğalgaz","","","Evet","","","",""
"Şirinyer Hürriyet Mahallesinde 2+1 Eşyalı Kiralık Daire","20.000 TL","122602-121","15-10-2024","Daire","2 + 1","80 m2","Ara Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","50 TL","Kuzey, Güney","20.000 TL","Doğalgaz","","","Evet","","","",""
"SAFİR'den Kuruçeşme Mahallesinde Eşyalı Balkonlu Kiralık Daire","11.000 TL","109159-293","18-10-2024","Daire","1 + 0","40 m2","2. Kat","5 Yaşında","Klima","4 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Batı","","","","","","Uygun değil","","",""
"BOZBEY EMLAK'TAN BUCA FIRAT MAH. 3+1 130 M2 KİRALIK DAİRE","15.000 TL","64940-56","12-10-2024","Daire","3 + 1","135 m2","Ara Kat","20 Yaşında","Klima","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat Mülkiyeti","50 TL","Güney","15.000 TL","Elektrik","0","0","Evet","","","",""
"ATA EMLAKTAN LALELİ MAHALLESİ VALİ RAHMİ BEY OKULU YAKINI 2+1DAİRE","12.000 TL","6425-4601","17-10-2024","Daire","2 + 1","90 m2","4. Kat","27 Yaşında","Isıtma Yok","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","100 TL","","12.000 TL","Elektrik","","","","","","",""
"ARGA'DAN BUCA HEYKEL YAKINI ARAKAT D.GAZLI 2+1 KİRALIK DAİRE.","25.000 TL","63598-146","15-10-2024","Daire","2 + 1","95 m2","Ara Kat","6 Yaşında","Kombi","5 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","","Kat Mülkiyeti","70 TL","Batı","25.000 TL","Doğalgaz","","","Evet","","","",""
"Buca Hürriyet Mah./Tünel Çıkışı,Uçanyolda//Site İçi//2.Kat 3+1 D","30.000 TL","85846-1828","04-10-2024","Daire","3 + 1","130 m2","2. Kat","15 Yaşında","Kombi","8 Katlı","Eşyalı Değil","1","Betonarme","","Kiracılı","","","","30.000 TL","Doğalgaz","","","Evet","","","",""
"VOLKAN EMLAKTAN BUCA PARK ORMAN EVLERİ (TOKİ 1.ETAP EVLERİ) 3+1","23.000 TL","59475-1041","09-10-2024","Daire","3 + 1","120 m2","Yüksek Giriş","15 Yaşında","Merkezi (Pay Ölçer)","7 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","575 TL","Güney, Doğu","23.000 TL","Doğalgaz","","","Evet","","","",""
"BUCA TINAZTEPE YAKINI KISMİ EŞYALI 3+1 KİRALIK DAİRE","38.000 TL","149990-74","01-10-2024","Daire","3 + 1","130 m2","8. Kat","16 Yaşında","Kombi","10 Katlı","Eşyalı Değil","1","","","Boş","Kat Mülkiyeti","","Kuzey, Batı","","","","","","Uygun değil","Cemre Kent Sitesi","",""
"BUCANIN MERKEZİ ÜÇKUYULARDA YENİLENMİŞ BİNADAKİ MÜKEMMEL DAİRE","27.000 TL","0-43428890","27-09-2024","Daire","3 + 1","141 m2","4. Kat","25 Yaşında","Kombi","5 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","Kat İrtifakı","","Kuzey, Güney, Doğu, Batı","27.000 TL","Doğalgaz","290","68","","","","",""
"REF'DEN İBF YANI DOĞALGAZLI TERASLI DUBLEKS 2+1 KİRALIK DAİRE","22.000 TL","144696-137","26-09-2024","Daire","2 + 1","95 m2","3. Kat","Sıfır Bina","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","Kat İrtifakı","100 TL","Güney, Doğu","22.000 TL","Doğalgaz","","","Evet","","","",""
"-AY GAYRİMENKUL'DEN- YAYLACIK MH. FULL EŞYALI 3+1 KİRALIK DAİRE!","35.000 TL","144455-55","27-09-2024","Daire","3 + 1","160 m2","4. Kat","5 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","","150 TL","Güney, Batı","","","","","","Uygun değil","","",""
"Kiralık Site İçinde Büyük Arakat Daire","28.000 TL","82933-244","11-10-2024","Daire","3 + 1","150 m2","6. Kat","18 Yaşında","Kombi","7 Katlı","Eşyalı Değil","2","Betonarme","İkinci El","Boş","","300 TL","Kuzey, Güney, Doğu, Batı","30.000 TL","Doğalgaz","","","Evet","","Karaçay","",""
"BUCA ADA EMLAKTN DUMLUPINAR MAHALLESİNDE 2+1 KİRALIK MÜSTAKİL EV","20.000 TL","145203-52","15-10-2024","Müstakil Ev","2 + 1","100 m2","Bahçe Katı","31 Yaşında","Kombi","1 Katlı","Eşyalı Değil","1","","","Boş","","","Doğu","","","","","","Uygun değil","","",""
"Erdem Caddesi civarı 4+1 150 m2 3 Cepheli Doğalgazlı Bakımlı Arakat Daire","25.000 TL","3526-3154","16-10-2024","Daire","4 + 1","150 m2","2. Kat","25 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","Kuzey, Güney, Batı","25.000 TL","Doğalgaz","","","Evet","","","",""
"BUCA HASANAĞA BAHÇESİ DİBİ UÇKUYULAR MEYDAN'DA 3+1 120M2 D.GAZLI MASRAFSIZ DAİRE","19.000 TL","111716-1087","19-10-2024","Daire","3 + 1","130 m2","3. Kat","10 Yaşında","Kombi","3 Katlı","","1","","","","Kat Mülkiyeti","","","19.000 TL","Doğalgaz","","","","","","",""
"GÜNEŞ'TEN ŞİRİNYER İZBAN 5DK 2+1 95M EŞYALI KAPALI MUTFAK BALKON","19.500 TL","130324-803","19-10-2024","Daire","2 + 1","95 m2","4. Kat","20 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat İrtifakı","100 TL","Kuzey, Güney","21.000 TL","Doğalgaz","","","","","","",""
"VİRAJ EMLAK KİRALIK 3+1 155mt 4 BALKON 2TUVALET YİĞİTLER MAH ŞİRİNYER","15.000 TL","98587-1454","19-10-2024","Daire","3 + 1","155 m2","4. Kat","35 Yaşında","Soba","4 Katlı","Eşyalı Değil","2","","","Boş","Kat Mülkiyeti","","","15.000 TL","","","","Evet","","","",""
"SAFİR'den Yaylacık Mah. Eşyasız DoğalGazlı Kiralık Daire","13.500 TL","109159-291","14-10-2024","Daire","1 + 1","55 m2","1. Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","Güney, Doğu","","","","","","Uygun değil","","",""
"ARGA'DAN BUCA YENİGÜN'DE D.GAZLI FULL EŞYALI 3+1 KİRALIK DAİRE.","26.000 TL","63598-151","17-10-2024","Daire","3 + 1","140 m2","Ara Kat","25 Yaşında","Kombi","3 Katlı","Eşyalı","1","","İkinci El","Boş","Kat İrtifakı","","Doğu, Batı","26.000 TL","Doğalgaz","","","Evet","","","",""
"ÜÇKUYULAR MEYDAN HASANAĞA BAHÇESİNDE ''1+1'' DGAZ-KLİMALI","15.500 TL","104457-57","16-10-2024","Daire","1 + 1","60 m2","3. Kat","5 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","100 TL","Kuzey, Güney, Doğu, Batı","","","","","","Uygun değil","","",""
"ATA EMLKTAN ŞİRİNYER İZBAN YK GENİŞ 3+1 DAİRE","20.500 TL","6425-4608","15-10-2024","Daire","3 + 2","140 m2","En Üst Kat","41 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat İrtifakı","","Doğu, Batı","20.500 TL","Doğalgaz","429","82","","","","",""
"BUCA KADIN DOĞUM HAST. YAKINI 2+0 65 M2 ASANSÖRLÜ ARAKAT BALKONLU KİRALIK DAİRE","16.000 TL","111716-1078","19-10-2024","Daire","2 + 0","70 m2","2. Kat","11 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","","Boş","Kat İrtifakı","","Güney, Doğu, Batı","16.000 TL","Doğalgaz","","","","","","",""
"VİRAJ EMLAK KİRALIK 3+1 145m ARA KAT BUCA ŞİRİNYER LALELİ","22.500 TL","98587-1458","19-10-2024","Daire","3 + 1","150 m2","1. Kat","10 Yaşında","Kombi","4 Katlı","","1","","","Boş","Kat Mülkiyeti","","","22.000 TL","","","","Evet","","","",""
"İzmir buca sirinkapi 2+1 mustaki1038 sok no 20","14.500 TL","66676-129","19-10-2024","Daire","2 + 1","110 m2","Bahçe Katı","15 Yaşında","Kombi","2 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","Kuzey, Doğu, Batı","30.000 TL","Doğalgaz","","","Evet","","","",""
"GÜNEŞ'TEN ŞİRNYER METRO 5DK 2+1 90M 3.KAT BALKON","18.500 TL","130324-747","17-10-2024","Daire","2 + 1","90 m2","3. Kat","40 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","50 TL","Kuzey","18.500 TL","Doğalgaz","","","","","","",""
"PARİSADAN TINAZTEPE KAMPÜSE YÜRÜME MESAFESİNDE  EŞYALI KİRALIK 1+1","14.000 TL","143816-15","17-10-2024","Daire","1 + 1","55 m2","2. Kat","5 Yaşında","Klima","2 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Doğu, Batı","","","","","","","","",""
"2+1 KAPALI MUTFAK 90 M2 YÜKSEK GİRİŞ KİRALIK DAİRE","15.000 TL","110918-1094","19-10-2024","Daire","2 + 1","90 m2","Yüksek Giriş","20 Yaşında","Klima","3 Katlı","Eşyalı Değil","","Betonarme","İkinci El","Boş","Kat Mülkiyeti","","","15.000 TL","Doğalgaz","","","Evet","","","",""
"EŞYALI-DOĞALGAZLI 2 ODA 1 SALON-ARAKAT DAİRE","18.000 TL","13470-2474","18-10-2024","Daire","2 + 1","80 m2","Ara Kat","5 Yaşında","Kombi","5 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","50 TL","Güney, Doğu","20.000 TL","Doğalgaz","","","Evet","","","",""
"BELLA HOME SİTESİNDE FULL EŞYALI 1+1 KİRALIK DAİRE","18.000 TL","142478-85","14-10-2024","Daire","1 + 1","55 m2","7. Kat","5 Yaşında","Merkezi (Pay Ölçer)","9 Katlı","Eşyalı","1","","","Boş","","1.1 TL","Doğu","","","","","","Uygun değil","Bella Home","",""
